claim_id,actual_outcome,confidence,notes
ac7f8a47-a07e-4354-80d3-c361f983b7c8,UNRESOLVED,0.55,"Source paper not locatable via search; cannot confirm this 'structural certification'/'transition-local' framework exists. Vocabulary echoes Richens et al. 'General agents contain world models', whose recovered construction is described as universal."
220a22a2-e316-4596-bd2e-1470b32dffc0,UNRESOLVED,0.55,"Cannot find source paper. Contrasts the established result (Richens et al., ICML 2025) that general agents contain world models via a universal construction; unverified as stated."
b96d8413-4b92-4c44-a164-6b0d24a7b542,UNRESOLVED,0.55,"Cannot locate source. 'Big world' is a real concept (Sutton's big-world hypothesis) but this specific 'specialized in pieces' claim is unverified."
c87a2883-3b70-4890-bd8c-4ccd3060bc0c,FALSE,0.85,"Wrong model size: OT-Agent's released OpenThinker-Agent-v1 is built on Qwen3-8B, not 32B. No 44.8% figure appears anywhere in the project's results."
1ab04036-f1a6-4fe6-9156-0e3de51de7fd,PARTIAL,0.6,"Overstated/conflated. OT-Agent ablated 15 instruction-source approaches plus teacher-model choice; the '100+/1,000+ controlled ablations across each pipeline stage' framing belongs to the separate OpenThoughts3 reasoning paper."
5c880c86-dfc3-45c3-91f4-edef1a168b1d,TRUE,0.9,"Accurate. OT-Agent is explicitly an open-source effort to curate the best datasets for training agents."
f88cd2fa-5641-4cb2-b7c6-d0b3f2bead02,UNRESOLVED,0.55,"Duplicate of the 'structural certification' claim. Source paper not locatable; terminology unverified."
393b3ccc-69bc-48bb-a1fd-bced64191a94,UNRESOLVED,0.55,"Cannot locate source. Same issue as the 'not universal' claim - unverified and in tension with the known Richens et al. result."
49019670-1910-4e46-b9f4-fb5c4056b4fd,UNRESOLVED,0.55,"Duplicate big-world-regime claim. Source not found; unverified."
0afb140b-c17e-4f5d-8339-e38a7bf7693e,PARTIAL,0.6,"Same as other ablation claim: number/framing matches OpenThoughts3 reasoning paper (1,000+ ablations), not OT-Agent's 15 source ablations."
48f1f26a-b160-417e-951e-270edfe514df,UNRESOLVED,0.5,"Unverifiable as stated. 'SERA' not found in OT-Agent materials; OT-Agent cites SWESmith, Nemo and Mind2Web as sources but does not characterize them as single-benchmark."
6fc7e3b1-25c7-4859-b29c-bb4e3f4ceadd,TRUE,0.9,"Accurate. OT-Agent's stated purpose is curating datasets for training agentic models."
b502c9f9-ddee-44f0-8b92-e8cde2796035,UNRESOLVED,0.55,"Duplicate 'structural certification' claim. Source not locatable; unverified."
173bb467-b574-49ef-bb07-30e99d91a5cc,UNRESOLVED,0.55,"Belongs to the unlocatable theory paper; cannot confirm."
2dc710f3-02a3-41d9-a34a-db17ed3205b7,UNRESOLVED,0.55,"Unlocatable theory paper; 'specialized in pieces' claim unverified."
7670f978-b15c-4916-adbf-9fd9ba1ecdb4,FALSE,0.9,"Multiple errors: base model is Qwen3-8B not 32B; SFT set is ~15K traces not 100K; no 44.8% figure in the project's results."
4253d156-1bec-48d0-ad7f-cbbfdae713f2,PARTIAL,0.6,"Duplicate ablation claim. Directionally true (extensive experimentation) but the specific number/framing is borrowed from OpenThoughts3, not OT-Agent."
2060f1e7-732f-42d2-9354-6355bf9f9b91,TRUE,0.9,"Accurate description of the OT-Agent project's goal."
adf3dd56-4970-42ee-b5ae-af98887c5362,UNRESOLVED,0.55,"Duplicate 'structural certification' claim. Source not locatable."
a707c4a3-06a4-4f67-b0ba-6f8d64d421f8,UNRESOLVED,0.55,"Duplicate uniform-guarantees claim. Source not found; unverified."
a8bfa6ae-81bb-4925-96ed-69524d27d779,UNRESOLVED,0.55,"Duplicate 'specialized in pieces' claim. Source not found."
f886cdab-7a0c-40ad-9d40-6556e31477e5,PARTIAL,0.6,"Duplicate ablation claim. Number/framing matches OpenThoughts3 reasoning paper, not OT-Agent."
49d772c8-b509-40e9-88bd-a853ef0c658d,TRUE,0.9,"Accurate. OT-Agent addresses training-data curation for agentic models."
9a9d49ee-f2a4-4b57-b7ff-82e670677f9f,TRUE,0.6,"Generic, broadly accepted motivational statement; true in spirit but not a specific verifiable finding from the source paper."
851cf558-6ab4-473b-9e18-5d13ce92d6cc,UNRESOLVED,0.55,"Duplicate 'structural certification' claim. Source not locatable."
a9587d40-9a48-4858-9e22-aecc1281c312,UNRESOLVED,0.55,"Duplicate 'we first formalize... not universal' claim. Source not found."
cf6c9e0b-cf50-4c9b-81b2-82ae3507eea8,UNRESOLVED,0.55,"Duplicate big-world-regime claim. Source not found."
bc1138a0-70dd-49e6-b080-bbb17f7dd978,PARTIAL,0.6,"Duplicate ablation claim. Borrowed number/framing from OpenThoughts3, not OT-Agent."
a64004b5-d953-4b6d-8ae4-f40f4ef8fbc3,TRUE,0.9,"Accurate description of OT-Agent's purpose."
c7ba6ec9-5059-4b9e-93b6-ac23d847046f,TRUE,0.6,"Generic motivational claim; broadly true but not a specific verifiable source finding."
